termin	predlog	padezh	chastota	logDice
значение	до	Gen	35	5.96
правило	согласно	Dat	35	7.53
условие	в	Acc	35	5.17
материал	на	Loc	35	5.55
текст	в	Acc	35	5.43
система	у	Gen	35	6.06
последовательность	на	Acc	35	5.42
автор	у	Gen	35	7.55
исследование	в	Acc	35	5.35
предмет	на	Acc	35	5.9
название	из	Gen	35	5.2
связь	на	Acc	35	5.77
слово	без	Gen	35	6.21
слово	с	Ins	35	4.91
сила	с	Ins	35	5.3
принцип	на	Acc	35	5.8
константа	в	Acc	35	5.54
способ	по	Dat	35	5.2
игра	с	Ins	35	5.29
основа	за	Acc	35	7.29
мир	о	Loc	35	6.84
геометрия	от	Gen	35	6.42
геометрия	для	Gen	35	5.14
угол	от	Gen	35	6.52
карта	с	Ins	35	5.37
раскраска	о	Loc	35	7.26
разложение	для	Gen	35	5.26
решётка	для	Gen	35	5.33
коэффициент	со	Ins	34	7.06
начало	на	Acc	34	5.67
шаг	через	Gen	34	7.6
понятие	на	Loc	34	5.36
формулировка	для	Gen	34	5.26
порядок	в	Acc	34	5.18
текст	по	Dat	34	5.45
доказательство	в	Acc	34	5.02
идея	из	Gen	34	5.14
последовательность	от	Gen	34	5.99
половина	на	Acc	34	5.84
исследование	с	Ins	34	5.21
высказывание	из	Gen	34	5.25
буква	с	Gen	34	6.26
связь	для	Gen	34	5.17
конструкция	из	Gen	34	5.19
длина	при	Loc	34	6.16
принцип	с	Ins	34	5.3
предположение	без	Gen	34	8.06
прямоугольник	из	Gen	34	5.22
неравенство	с	Ins	34	5.21
сложность	к	Dat	34	5.95
путь	в	Acc	34	5.18
преобразование	с	Ins	34	5.25
круг	для	Gen	34	5.23
расстояние	от	Gen	34	6.57
жизнь	к	Dat	34	6.03
жизнь	в	Acc	34	5.42
процесс	в	Gen	34	6.48
человек	среди	Gen	34	7.41
наука	для	Gen	34	4.93
качество	в	Loc	34	3.34
плоскость	относительно	Gen	34	7.44
вектор	от	Gen	34	6.23
координата	на	Acc	34	5.76
линия	к	Dat	34	6.03
ребро	в	Acc	34	5.16
картинка	на	Acc	34	5.9
кусок	на	Gen	34	8.33
монета	с	Ins	34	5.36
рис	из	Gen	34	5.15
матрица	на	Loc	34	5.25
распределение	при	Loc	34	6.41
вид	от	Gen	33	5.64
книга	над	Ins	33	6.87
время	спустя	Acc	33	6.25
метод	при	Gen	33	6.6
теорема	о	Loc	33	5.83
шаг	в	Loc	33	3.29
множество	на	Gen	33	5.08
определение	в	Ins	33	6.47
определение	в	Gen	33	5.81
степень	при	Loc	33	6.03
условие	к	Dat	33	5.56
отношение	по	Dat	33	5.34
нуль	о	Loc	33	6.53
порядок	для	Gen	33	4.95
текст	к	Dat	33	5.94
система	с	Gen	33	5.45
утверждение	для	Gen	33	4.94
лемма	с	Gen	33	6.42
длина	к	Dat	33	5.56
существование	из	Gen	33	5.14
предел	с	Ins	33	5.28
константа	от	Gen	33	6.8
мера	в	Gen	33	6.33
дерево	на	Loc	33	5.3
команда	из	Gen	33	5.17
путь	к	Dat	33	5.63
переход	после	Gen	33	8.21
движение	на	Acc	33	5.65
движение	из	Gen	33	5.05
событие	о	Loc	33	6.6
расстояние	с	Gen	33	6.32
состояние	с	Ins	33	5.23
пункт	к	Dat	33	6.11
код	по	Dat	33	5.44
соотношение	в	Acc	33	5.33
график	под	Ins	33	8.42
граф	среди	Gen	33	5.46
ребро	без	Gen	33	6.71
занятие	в	Loc	33	3.34
карта	для	Gen	33	5.18
день	с	Gen	33	6.33
ожидание	к	Dat	33	6.08
предложение	из	Gen	33	5.19
проблема	в	Loc	32	3.25
лекция	по	Dat	32	5.31
математик	с	Ins	32	5.06
книга	по	Dat	32	5.19
множество	про	Acc	32	5.12
группа	со	Ins	32	5.8
параметр	в	Gen	32	6.57
свойство	от	Gen	32	5.92
студент	среди	Gen	32	8.61
текст	для	Gen	32	5.09
форма	между	Ins	32	6.72
функция	об	Loc	32	5.17
половина	из	Gen	32	5.1
скорость	от	Gen	32	6.58
таблица	с	Ins	32	5.18
помощь	на	Acc	32	5.5
схема	к	Dat	32	5.92
неравенство	в	Acc	32	5.22
дерево	у	Gen	32	7.14
вычисление	о	Loc	32	6.6
конец	между	Ins	32	6.96
круг	на	Acc	32	5.72
граница	от	Gen	32	6.56
пространство	по	Dat	32	4.88
структура	в	Acc	32	5.32
окружность	внутри	Gen	32	7.77
применение	о	Loc	32	6.81
координата	для	Gen	32	5.11
совокупность	из	Gen	32	5.16
имя	на	Acc	32	5.6
монета	для	Gen	32	5.16
многоугольник	внутри	Gen	32	9.04
вид	по	Dat	31	4.84
сторона	по	Gen	31	6.98
случай	за	Gen	31	5.74
случай	с	Ins	31	4.56
множество	через	Acc	31	5.0
группа	относительно	Gen	31	5.86
программа	к	Dat	31	5.86
работа	после	Gen	31	6.22
определение	согласно	Dat	31	6.35
следствие	согласно	Dat	31	8.53
гипотеза	в	Loc	31	3.21
степень	на	Loc	31	4.97
свойство	к	Dat	31	5.45
студент	со	Ins	31	7.86
формула	согласно	Dat	31	6.32
теория	над	Ins	31	5.78
запись	из	Gen	31	5.01
строка	на	Loc	31	5.19
отображение	в	Acc	31	5.08
место	на	Gen	31	6.76
скобка	в	Acc	31	5.39
многочлен	к	Dat	31	5.74
выбор	с	Ins	31	5.14
возможность	на	Acc	31	5.66
действие	по	Dat	31	5.35
круг	с	Ins	31	5.2
отрезок	на	Acc	31	5.56
пара	на	Gen	31	6.67
процесс	в	Acc	31	5.19
деление	на	Gen	31	7.63
деление	о	Loc	31	6.88
шар	для	Gen	31	5.1
ось	из	Gen	31	5.03
применение	после	Gen	31	7.75
линия	вдоль	Gen	31	8.2
ребро	вдоль	Gen	31	6.9
карта	на	Acc	31	5.66
клетка	с	Ins	31	5.18
доска	с	Gen	31	6.43
распределение	между	Ins	31	6.7
предложение	с	Ins	31	5.28
положение	при	Loc	31	6.87
проблема	для	Gen	30	4.95
лекция	в	Acc	30	5.17
число	п	Gen	30	3.93
число	на	Nom	30	3.93
сторона	со	Gen	30	6.9
квадрат	на	Loc	30	5.13
метод	в	Acc	30	4.87
начало	на	Loc	30	5.19
шаг	с	Gen	30	6.03
группа	про	Acc	30	5.86
значение	в	Acc	30	4.73
условие	для	Gen	30	4.77
нуль	кроме	Gen	30	7.34
эквивалентность	до	Gen	30	7.42
функция	до	Gen	30	4.93
закон	согласно	Dat	30	7.71
поле	о	Loc	30	5.94
единица	по	Dat	30	5.1
знак	на	Acc	30	5.56
знак	в	Loc	30	3.17
произведение	о	Loc	30	6.25
класс	о	Loc	30	6.07
момент	для	Gen	30	5.01
способ	к	Dat	30	5.39
выбор	на	Acc	30	5.54
дерево	в	Gen	30	6.27
ряд	о	Loc	30	6.26
край	без	Gen	30	8.29
ситуация	к	Dat	30	5.97
позиция	на	Gen	30	7.74
пространство	о	Loc	30	5.63
деление	для	Gen	30	5.05
человек	между	Ins	30	6.82
человек	о	Loc	30	6.41
шар	в	Acc	30	5.27
геометрия	о	Loc	30	6.43
применение	на	Acc	30	5.57
столбец	для	Gen	30	5.09
диаграмма	в	Acc	30	5.26
маршрут	по	Dat	30	5.43
школьник	со	Ins	30	8.0
цвет	от	Gen	30	6.34
доля	из	Gen	30	5.03
автомат	для	Gen	30	5.09
коэффициент	от	Gen	29	6.12
математик	среди	Gen	29	6.99
задача	согласно	Dat	29	5.0
сторона	между	Ins	29	6.48
время	об	Loc	29	5.96
случай	от	Gen	29	5.19
определение	без	Gen	29	6.1
элемент	по	Gen	29	5.92
алгоритм	от	Gen	29	5.57
школа	к	Dat	29	5.66
основание	к	Dat	29	5.86
математика	на	Acc	29	5.0
операция	при	Gen	29	7.35
скобка	за	Acc	29	7.54
алгебра	для	Gen	29	4.91
индукция	по	Ins	29	8.42
произведение	к	Dat	29	5.51
момент	с	Ins	29	5.07
действие	о	Loc	29	6.71
конец	на	Acc	29	5.4
замечание	в	Loc	29	3.15
ситуация	из	Gen	29	4.98
количество	через	Acc	29	6.47
процесс	о	Loc	29	6.44
область	от	Gen	29	5.9
деление	после	Gen	29	7.9
структура	на	Acc	29	5.52
наука	о	Loc	29	5.95
делитель	на	Acc	29	5.64
вектор	через	Acc	29	6.69
соотношение	с	Gen	29	6.1
алфавит	для	Gen	29	5.06
алфавит	из	Gen	29	5.0
грань	среди	Gen	29	7.99
грань	между	Ins	29	7.32
картинка	с	Ins	29	5.18
карта	в	Gen	29	6.52
имя	в	Acc	29	5.13
разложение	при	Loc	29	6.66
триангуляция	в	Loc	29	3.17
сторона	для	Gen	28	4.73
тройка	в	Acc	28	5.23
метод	в	Gen	28	5.65
метод	на	Acc	28	5.04
ответ	из	Gen	28	4.73
случай	о	Loc	28	5.26
форма	относительно	Gen	28	6.82
вывод	с	Ins	28	5.07
рассуждение	с	Gen	28	6.25
закон	в	Ins	28	7.69
математика	от	Gen	28	5.49
математика	из	Gen	28	4.49
ошибка	без	Gen	28	7.57
буква	𝑛	Gen	28	7.55
буква	от	Gen	28	6.17
таблица	для	Gen	28	4.88
отображение	на	Acc	28	5.23
сила	по	Dat	28	5.14
многочлен	о	Loc	28	6.38
предел	в	Acc	28	5.15
сложность	на	Loc	28	5.12
действие	относительно	Gen	28	7.69
вычисление	с	Ins	28	4.95
преобразование	к	Dat	28	5.65
цепочка	в	Acc	28	5.25
пара	у	Gen	28	6.55
жизнь	для	Gen	28	4.93
процесс	на	Acc	28	5.37
область	внутри	Gen	28	6.75
модель	с	Gen	28	5.8
мир	с	Ins	28	4.99
данных	в	Gen	28	6.38
ось	от	Gen	28	6.42
окружность	в	Loc	28	3.07
плоскость	от	Gen	28	6.14
плоскость	из	Gen	28	4.78
остаток	из	Gen	28	4.89
координата	по	Dat	28	5.19
грань	на	Acc	28	5.52
ребро	от	Gen	28	5.82
планета	на	Loc	28	5.3
треугольник	от	Gen	28	6.0
раскраска	в	Loc	28	3.1
фигура	с	Ins	28	5.09
многоугольник	в	Loc	28	3.1
сфера	на	Acc	28	5.58
сфера	из	Gen	28	4.92
задача	у	Gen	27	4.82
задача	между	Ins	27	4.78
вопрос	в	Acc	27	4.86
случай	кроме	Gen	27	5.59
факт	на	Acc	27	5.49
значение	на	Loc	27	4.59
алгоритм	в	Gen	27	5.5
порядок	в	Gen	27	5.84
последовательность	о	Loc	27	5.83
половина	в	Acc	27	5.14
слово	среди	Gen	27	5.95
операция	к	Dat	27	5.52
умножение	к	Dat	27	5.65
алгебра	над	Ins	27	7.0
произведение	на	Loc	27	4.92
выражение	на	Acc	27	5.45
оценка	в	Gen	27	6.15
оценка	по	Dat	27	5.05
ход	из	Gen	27	4.81
ряд	на	Loc	27	4.92
аксиома	от	Gen	27	6.53
человек	на	Acc	27	5.28
разбиение	относительно	Gen	27	7.8
ось	до	Gen	27	7.01
вектор	по	Dat	27	4.95
применение	из	Gen	27	4.8
угол	о	Loc	27	6.4
граф	над	Ins	27	5.1
граф	между	Ins	27	5.05
город	для	Gen	27	4.89
поверхность	с	Ins	27	4.97
день	на	Gen	27	7.15
матрица	у	Gen	27	6.58
кость	из	Gen	27	4.9
уравнение	об	Loc	26	5.9
год	по	Gen	26	3.95
вид	в	Acc	26	4.54
решение	после	Gen	26	5.64
число	под	Ins	26	3.69
книга	с	Ins	26	4.74
сумма	на	Gen	26	5.89
следствие	в	Gen	26	6.48
подмножество	с	Ins	26	4.83
правило	в	Ins	26	7.17
правило	с	Gen	26	5.81
формулировка	к	Dat	26	5.75
порядок	на	Gen	26	6.36
ученик	со	Ins	26	7.5
форма	на	Acc	26	5.15
теория	между	Ins	26	5.46
половина	на	Loc	26	5.12
результат	в	Gen	26	5.64
дело	в	Acc	26	4.93
ошибка	от	Gen	26	6.32
символ	в	Gen	26	6.3
модуль	в	Loc	26	2.97
алгебра	на	Loc	26	4.98
способ	о	Loc	26	5.78
прямоугольник	на	Gen	26	7.7
сложность	из	Gen	26	4.72
бит	на	Acc	26	5.46
цифра	в	Loc	26	2.95
круг	к	Dat	26	5.68
круг	из	Gen	26	4.78
корень	в	Acc	26	4.96
событие	к	Dat	26	5.48
пара	о	Loc	26	5.98
аксиома	по	Dat	26	5.19
шар	с	Ins	26	4.95
объект	у	Gen	26	6.66
модель	от	Gen	26	5.85
модель	по	Dat	26	4.9
пункт	на	Acc	26	5.49
ось	над	Ins	26	7.41
делитель	по	Dat	26	5.17
код	к	Dat	26	5.64
площадь	к	Dat	26	5.66
линия	между	Ins	26	7.08
линия	в	Acc	26	5.03
линия	в	Loc	26	2.97
грань	в	Acc	26	5.06
изучение	на	Acc	26	5.47
имя	в	Loc	26	2.96
рисунок	с	Ins	26	4.97
перестановка	по	Dat	26	5.07
день	спустя	Gen	26	7.78
день	из	Gen	26	4.73
уравнение	о	Loc	25	5.41
математик	к	Dat	25	5.33
начало	о	Loc	25	6.28
шаг	на	Gen	25	6.71
группа	в	Gen	25	5.11
определение	за	Acc	25	5.73
элемент	без	Gen	25	5.57
гипотеза	для	Gen	25	4.7
понятие	для	Gen	25	4.69
отношение	об	Loc	25	7.13
г.	с	Nom	25	7.23
г.	за	Acc	25	6.48
доказательство	на	Loc	25	4.59
функция	при	Loc	25	4.57
анализ	с	Ins	25	4.75
результат	на	Loc	25	4.69
ошибка	по	Dat	25	5.06
ошибка	из	Gen	25	4.72
исследование	в	Gen	25	6.0
член	для	Gen	25	4.56
член	в	Loc	25	2.86
помощь	без	Gen	25	6.66
модуль	из	Gen	25	4.69
композиция	в	Gen	25	6.46
выражение	с	Ins	25	4.87
размер	на	Acc	25	5.25
действие	к	Dat	25	5.59
круг	с	Gen	25	6.04
ход	при	Loc	25	6.39
ряд	от	Gen	25	5.78
ситуация	с	Ins	25	4.94
ситуация	для	Gen	25	4.83
пара	над	Ins	25	6.38
жизнь	в	Gen	25	6.27
количество	на	Loc	25	4.73
процесс	на	Loc	25	4.91
объединение	с	Ins	25	4.93
структура	из	Gen	25	4.69
объект	в	Loc	25	2.88
мир	на	Acc	25	5.27
состояние	на	Acc	25	5.27
данных	при	Loc	25	6.36
равенство	при	Loc	25	6.03
вектор	в	Acc	25	4.78
номер	от	Gen	25	6.22
дробь	в	Loc	25	2.93
школьник	из	Gen	25	4.79
упражнение	согласно	Dat	25	7.9
клетка	до	Gen	25	6.81
матрица	через	Acc	25	6.47
отражение	после	Gen	25	8.22
положение	к	Dat	25	5.67
сфера	с	Ins	25	4.93
решение	на	Loc	24	4.36
число	за	Ins	24	3.6
число	со	Ins	24	3.55
сторона	относительно	Gen	24	6.48
ответ	от	Gen	24	5.8
группа	от	Gen	24	5.03
параметр	на	Acc	24	5.25
представление	на	Loc	24	4.91
определение	до	Gen	24	5.63
элемент	среди	Gen	24	5.61
алгоритм	об	Loc	24	5.92
условие	на	Loc	24	4.65
порядок	о	Loc	24	5.83
эквивалентность	об	Loc	24	8.26
скорость	по	Dat	24	4.99
закон	от	Gen	24	6.04
направление	вдоль	Gen	24	7.85
направление	к	Dat	24	5.53
строка	со	Ins	24	6.61
строка	от	Gen	24	5.88
слово	у	Gen	24	5.65
единица	на	Gen	24	6.41
точка	среди	Gen	24	4.91
длина	о	Loc	24	5.71
существование	в	Loc	24	2.87
базис	для	Gen	24	4.7
цикл	к	Dat	24	5.36
сложность	на	Acc	24	5.21
вершина	среди	Gen	24	5.51
преобразование	в	Loc	24	2.84
корень	на	Acc	24	5.18
пересечение	до	Gen	24	6.78
край	за	Acc	24	7.38
аксиома	без	Gen	24	7.72
количество	между	Ins	24	6.09
пространство	со	Ins	24	5.57
пространство	в	Gen	24	5.19
раздел	на	Acc	24	5.3
вектор	с	Gen	24	5.56
применение	по	Dat	24	4.96
угол	по	Dat	24	4.9
угол	на	Loc	24	4.87
номер	с	Gen	24	5.95
симметрия	при	Loc	24	6.46
линия	на	Acc	24	5.27
картинка	по	Dat	24	5.08
поверхность	от	Gen	24	6.12
сторона	до	Gen	23	6.02
ответ	на	Acc	23	5.01
множество	среди	Gen	23	4.63
группа	внутри	Gen	23	5.5
работа	до	Gen	23	5.52
элемент	со	Ins	23	5.4
факт	на	Loc	23	4.92
гипотеза	при	Loc	23	6.11
сложение	к	Dat	23	5.57
степень	о	Loc	23	5.56
условие	согласно	Dat	23	6.28
условие	без	Gen	23	6.09
свойство	для	Gen	23	4.37
отношение	из	Gen	23	4.5
нуль	для	Gen	23	4.52
школа	на	Loc	23	4.79
язык	о	Loc	23	5.74
формула	без	Gen	23	5.74
функция	относительно	Gen	23	4.68
идея	на	Acc	23	5.2
скорость	на	Loc	23	4.89
исследование	на	Acc	23	5.07
слово	с	Gen	23	5.03
точка	п	Gen	23	4.88
роль	о	Loc	23	6.53
роль	по	Dat	23	4.97
конструкция	с	Ins	23	4.8
модуль	к	Dat	23	5.44
набор	в	Gen	23	5.91
набор	с	Gen	23	5.68
многочлен	от	Gen	23	5.85
предел	из	Gen	23	4.59
тип	в	Loc	23	2.77
бит	с	Ins	23	4.81
игра	после	Gen	23	7.01
преобразование	до	Gen	23	6.47
раз	n	Acc	23	6.63
замечание	из	Gen	23	4.66
событие	на	Acc	23	5.07
событие	в	Loc	23	2.77
отрезок	внутри	Gen	23	7.3
жизнь	за	Acc	23	6.79
процесс	с	Ins	23	4.66
структура	по	Dat	23	4.9
объект	о	Loc	23	5.96
объект	в	Gen	23	5.78
разбиение	по	Dat	23	4.95
вектор	в	Gen	23	5.7
диаграмма	в	Gen	23	6.19
номер	на	Acc	23	5.22
читатель	у	Gen	23	7.7
график	из	Gen	23	4.65
грань	для	Gen	23	4.66
маршрут	из	Gen	23	4.69
рисунок	в	Loc	23	2.81
монета	на	Loc	23	4.94
стрелка	из	Gen	23	4.63
уравнение	с	Gen	22	4.97
проблема	на	Acc	22	5.04
лекция	на	Gen	22	6.68
решение	до	Gen	22	5.18
задача	в	Ins	22	4.61
книга	для	Gen	22	4.4
квадрат	внутри	Gen	22	6.86
квадрат	до	Gen	22	6.2
квадрат	к	Dat	22	5.2
метод	по	Ins	22	6.05
вопрос	с	Gen	22	5.38
группа	над	Ins	22	5.29
определение	от	Gen	22	5.19
формулировка	по	Dat	22	4.92
порядок	из	Gen	22	4.31
доказательство	за	Acc	22	5.56
формула	при	Gen	22	5.86
форма	у	Gen	22	6.32
анализ	на	Loc	22	4.68
скорость	для	Gen	22	4.58
направление	между	Ins	22	6.85
ошибка	об	Loc	22	7.62
буква	вместо	Gen	22	7.08
образ	на	Acc	22	4.62
слово	про	Acc	22	5.68
единица	до	Gen	22	6.05
место	для	Gen	22	4.41
построение	с	Ins	22	4.67
конструкция	на	Acc	22	5.21
помощь	к	Dat	22	5.18
принцип	согласно	Dat	22	7.45
схема	на	Acc	22	5.13
умножение	из	Ins	22	7.62
произведение	относительно	Gen	22	6.45
произведение	от	Gen	22	5.6
класс	между	Ins	22	5.93
возможность	для	Gen	22	4.59
дерево	с	Gen	22	5.6
корень	в	Gen	22	5.9
расстояние	для	Gen	22	4.55
процесс	из	Gen	22	4.44
цепь	из	Gen	22	4.6
человек	в	Gen	22	5.78
структура	к	Dat	22	5.37
объект	над	Ins	22	6.41
модель	между	Ins	22	6.18
равенство	на	Acc	22	4.95
ось	через	Acc	22	7.17
площадь	от	Gen	22	6.05
совокупность	для	Gen	22	4.68
столбец	в	Acc	22	4.87
симметрия	по	Dat	22	4.89
алфавит	с	Ins	22	4.78
дробь	на	Acc	22	5.24
разность	для	Gen	22	4.64
разность	из	Gen	22	4.58
изучение	после	Gen	22	7.77
картинка	из	Gen	22	4.6
цвет	по	Dat	22	4.79
треугольник	вне	Gen	22	6.79
перестановка	с	Ins	22	4.67
монета	по	Dat	22	4.91
фигура	в	Loc	22	2.75
разложение	с	Gen	22	5.83
проблема	на	Loc	21	4.67
коэффициент	к	Dat	21	5.14
число	по	Gen	21	3.41
число	об	Loc	21	3.4
число	без	Gen	21	3.37
время	о	Loc	21	5.09
теорема	в	Ins	21	5.66
сумма	по	Dat	21	4.35
смысл	о	Loc	21	6.18
элемент	𝑛	Gen	21	5.5
факт	с	Ins	21	4.65
подмножество	по	Dat	21	4.68
гипотеза	в	Gen	21	5.85
степень	в	Gen	21	5.29
материал	к	Dat	21	5.42
ученик	у	Gen	21	7.32
утверждение	с	Gen	21	5.27
последовательность	с	Gen	21	5.16
компьютер	в	Acc	21	4.82
автор	с	Ins	21	4.58
ошибка	на	Acc	21	5.11
слово	со	Gen	21	5.61
слово	в	Gen	21	5.04
отображение	относительно	Gen	21	6.33
точка	около	Gen	21	4.76
построение	с	Gen	21	5.7
помощь	за	Acc	21	6.15
принцип	к	Dat	21	5.32
умножение	после	Gen	21	7.11
умножение	в	Loc	21	2.66
предположение	с	Ins	21	4.68
класс	с	Gen	21	5.23
способ	в	Loc	21	2.58
выбор	без	Gen	21	6.84
возможность	в	Loc	21	2.67
игра	по	Dat	21	4.71
действие	в	Gen	21	6.01
действие	на	Acc	21	5.08
действие	для	Gen	21	4.51
действие	из	Gen	21	4.45
путь	в	Gen	21	5.47
путь	от	Gen	21	5.43
цифра	между	Ins	21	6.35
ход	в	Acc	21	4.72
край	в	Loc	21	2.69
граница	через	Acc	21	6.98
граница	в	Loc	21	2.67
пара	в	Gen	21	5.51
аксиома	с	Gen	21	5.92
позиция	от	Gen	21	6.1
процесс	между	Ins	21	6.4
человек	к	Dat	21	5.14
объект	от	Gen	21	5.61
объект	по	Dat	21	4.62
равенство	с	Gen	21	5.45
остаток	к	Dat	21	5.38
делитель	о	Loc	21	6.46
цель	из	Gen	21	4.49
координата	в	Gen	21	5.98
разность	в	Gen	21	6.19
ребро	в	Gen	21	5.45
клетка	с	Gen	21	5.74
поверхность	из	Gen	21	4.44
распределение	на	Acc	21	4.85
частота	от	Gen	21	6.18
исход	для	Gen	21	4.57
лекция	с	Gen	20	5.52
год	из	Gen	20	2.99
задача	об	Loc	20	4.45
книга	за	Acc	20	5.94
теорема	в	Gen	20	4.99
начало	вокруг	Gen	20	7.05
множество	относительно	Gen	20	4.41
группа	через	Acc	20	5.15
элемент	через	Acc	20	5.23
элемент	с	Gen	20	4.72
значение	через	Acc	20	5.31
понятие	на	Acc	20	4.9
алгоритм	при	Gen	20	5.72
свойство	об	Loc	20	5.99
отношение	в	Gen	20	5.72
отношение	от	Gen	20	5.67
отношение	на	Acc	20	4.89
нуль	с	Ins	20	4.42
курс	с	Gen	20	5.53
школа	со	Gen	20	6.88
система	через	Acc	20	5.25
формула	у	Gen	20	5.52
утверждение	в	Acc	20	4.4
половина	со	Gen	20	7.8
скорость	в	Loc	20	2.6
направление	о	Loc	20	6.18
запись	по	Dat	20	4.72
запись	в	Acc	20	4.66
основание	на	Acc	20	5.06
математика	между	Ins	20	5.39
вариант	с	Ins	20	4.51
исследование	об	Loc	20	6.72
информация	к	Dat	20	5.22
поле	до	Gen	20	5.53
поле	от	Gen	20	5.19
сила	о	Loc	20	6.01
операция	по	Dat	20	4.59
лемма	к	Dat	20	5.29
длина	на	Loc	20	4.38
член	среди	Gen	20	6.27
член	между	Ins	20	5.94
схема	со	Ins	20	6.75
набор	при	Loc	20	5.84
набор	на	Acc	20	4.88
умножение	с	Gen	20	5.61
базис	о	Loc	20	6.17
базис	в	Gen	20	5.94
предел	до	Gen	20	6.51
константа	без	Gen	20	7.41
способ	п	Ins	20	6.12
прямоугольник	внутри	Gen	20	8.26
тип	на	Acc	20	4.88
мера	из	Gen	20	4.26
вершина	между	Ins	20	5.07
вычисление	по	Dat	20	4.62
конец	под	Acc	20	6.93
преобразование	о	Loc	20	5.99
переход	о	Loc	20	6.31
движение	от	Gen	20	5.74
пересечение	на	Acc	20	5.02
пересечение	в	Acc	20	4.66
отрезок	вне	Gen	20	7.22
раздел	к	Dat	20	5.29
объект	об	Loc	20	6.52
мир	к	Dat	20	5.19
код	с	Gen	20	5.67
угол	к	Dat	20	5.15
стратегия	по	Dat	20	4.81
дробь	на	Loc	20	4.76
треугольник	около	Gen	20	6.63
клетка	через	Acc	20	6.91
матрица	с	Gen	20	5.3
эксперимент	к	Dat	20	5.39
стрелка	без	Gen	20	7.28
куб	из	Gen	20	4.45
сфера	к	Dat	20	5.37
лекция	к	Dat	19	5.07
вид	на	Gen	19	5.26
век	в	Gen	19	5.8
задача	к	Loc	19	4.43
задача	после	Gen	19	4.36
книга	в	Gen	19	5.42
квадрат	о	Loc	19	5.74
метод	от	Gen	19	5.06
ответ	в	Gen	19	5.51
вопрос	за	Gen	19	6.18
вопрос	над	Ins	19	5.97
теорема	на	Loc	19	4.13
начало	под	Ins	19	6.68
элемент	𝑘	Gen	19	5.36
гипотеза	о	Loc	19	5.91
понятие	от	Gen	19	5.62
понятие	с	Gen	19	5.43
условие	на	Acc	19	4.57
свойство	с	Gen	19	5.03
материал	с	Ins	19	4.53
г.	по	Acc	19	6.47
текст	над	Ins	19	6.69
формула	от	Gen	19	4.96
формула	на	Loc	19	4.18
закон	на	Acc	19	4.88
буква	между	Ins	19	6.29
таблица	на	Acc	19	4.87
отображение	у	Gen	19	6.03
список	в	Gen	19	5.83
точка	кроме	Gen	19	4.61
скобка	без	Gen	19	7.46
знак	с	Gen	19	5.54
знак	по	Dat	19	4.61
помощь	за	Ins	19	6.57
принцип	с	Gen	19	5.57
предположение	на	Acc	19	5.01
класс	после	Gen	19	5.97
бит	от	Gen	19	5.96
дерево	на	Acc	19	4.8
вершина	через	Gen	19	5.22
вычисление	из	Gen	19	4.23
путь	между	Ins	19	5.81
цифра	по	Dat	19	4.52
преобразование	при	Gen	19	7.03
ход	о	Loc	19	6.08
событие	после	Gen	19	6.57
аксиома	в	Gen	19	6.09
речь	с	Ins	19	4.58
количество	за	Acc	19	5.68
цепь	в	Acc	19	4.68
объединение	из	Gen	19	4.36
область	на	Gen	19	5.89
человек	до	Gen	19	6.0
человек	от	Gen	19	5.52
раздел	о	Loc	19	6.15
наука	от	Gen	19	5.16
код	из	Gen	19	4.31
координата	через	Acc	19	6.8
соотношение	по	Dat	19	4.59
номер	в	Acc	19	4.59
ребро	у	Gen	19	5.89
треугольник	в	Gen	19	5.48
клетка	в	Gen	19	5.86
распределение	на	Loc	19	4.43
кость	с	Ins	19	4.57
эксперимент	из	Gen	19	4.37
положение	на	Acc	19	5.0
разложение	к	Dat	19	5.21
стрелка	на	Acc	19	5.01
куб	с	Ins	19	4.56
куб	для	Gen	19	4.44
кубик	с	Ins	19	4.58
частота	при	Loc	19	6.28
вопрос	на	Loc	18	4.3
случай	со	Ins	18	4.83
работа	около	Gen	18	5.55
понятие	между	Ins	18	6.23
правило	от	Gen	18	5.46
правило	для	Gen	18	4.18
степень	между	Ins	18	5.48
г.	к	Dat	18	4.93
язык	на	Gen	18	5.8
система	между	Ins	18	5.02
доказательство	от	Gen	18	4.92
форма	в	Gen	18	5.36
форма	с	Gen	18	5.16
функция	при	Gen	18	4.37
анализ	в	Gen	18	5.48
результат	за	Acc	18	5.48
дело	от	Gen	18	5.49
вариант	на	Acc	18	4.8
изменение	для	Gen	18	4.35
буква	в	Acc	18	4.42
слово	под	Ins	18	5.31
слово	о	Loc	18	4.93
точка	на	Gen	18	4.41
сила	из	Gen	18	4.18
операция	на	Acc	18	4.7
символ	с	Gen	18	5.51
конструкция	для	Gen	18	4.33
член	без	Gen	18	5.93
набор	между	Ins	18	6.18
существование	к	Dat	18	5.18
индукция	к	Dat	18	5.16
момент	от	Gen	18	5.69
размер	о	Loc	18	5.84
мера	между	Ins	18	6.03
мера	на	Acc	18	4.67
множитель	на	Gen	18	7.02
множитель	с	Ins	18	4.45
сложность	между	Ins	18	6.35
выбор	к	Dat	18	5.05
игра	на	Loc	18	4.46
цифра	до	Gen	18	5.97
круг	о	Loc	18	6.09
ход	в	Loc	18	2.44
корень	через	Acc	18	6.44
ряд	над	Ins	18	6.0
ограничение	из	Gen	18	4.28
событие	между	Ins	18	6.14
